"","region","subregion","TOT_POP","FIPS"
"197","California","Fresno County",1000918,"06019"
"198","California","Glenn County",28283,"06021"
"199","California","Humboldt County",134977,"06023"
"200","California","Imperial County",180267,"06025"
"201","California","Inyo County",18046,"06027"
"202","California","Kern County",901362,"06029"
"203","California","Kings County",152692,"06031"
"204","California","Lake County",64479,"06033"
"205","California","Lassen County",30016,"06035"
"206","California","Los Angeles County",9943046,"06037"
"207","California","Madera County",157761,"06039"
"208","California","Marin County",257332,"06041"
"209","California","Mariposa County",17160,"06043"
"210","California","Mendocino County",86061,"06045"
"211","California","Merced County",279252,"06047"
"212","California","Modoc County",8763,"06049"
"213","California","Mono County",14534,"06051"
"214","California","Monterey County",430906,"06053"
"215","California","Napa County",135965,"06055"
"216","California","Nevada County",99606,"06057"
"217","California","Orange County",3166857,"06059"
"218","California","Placer County",402950,"06061"
"219","California","Plumas County",18967,"06063"
"220","California","Riverside County",2489188,"06065"
"221","California","Sacramento County",1559146,"06067"
"222","California","San Benito County",64055,"06069"
"223","California","San Bernardino County",2189183,"06071"
"224","California","San Diego County",3332427,"06073"
"225","California","San Francisco County",866606,"06075"
"226","California","San Joaquin County",767967,"06077"
"227","California","San Luis Obispo County",282249,"06079"
"228","California","San Mateo County",758308,"06081"
"229","California","Santa Barbara County",444766,"06083"
"230","California","Santa Clara County",1907105,"06085"
"231","California","Santa Cruz County",269925,"06087"
"232","California","Shasta County",179027,"06089"
"233","California","Sierra County",2920,"06091"
"234","California","Siskiyou County",43245,"06093"
"235","California","Solano County",446935,"06095"
"236","California","Sonoma County",489819,"06097"
"237","California","Stanislaus County",550081,"06099"
"238","California","Sutter County",96385,"06101"
"239","California","Tehama County",64494,"06103"
"240","California","Trinity County",12216,"06105"
"241","California","Tulare County",468680,"06107"
"242","California","Tuolumne County",54515,"06109"
"243","California","Ventura County",841387,"06111"
"244","California","Yolo County",219728,"06113"
"245","California","Yuba County",80160,"06115"
"246","Colorado","Adams County",519883,"08001"
"247","Colorado","Alamosa County",16180,"08003"
"248","Colorado","Arapahoe County",657452,"08005"
"249","Colorado","Archuleta County",14196,"08007"
"250","Colorado","Baca County",3555,"08009"
"251","Colorado","Bent County",5356,"08011"
"252","Colorado","Boulder County",327171,"08013"
"253","Colorado","Broomfield County",72236,"08014"
"254","Colorado","Chaffee County",20661,"08015"
"255","Colorado","Cheyenne County",1795,"08017"
"256","Colorado","Clear Creek County",9586,"08019"
"257","Colorado","Conejos County",8143,"08021"
"258","Colorado","Costilla County",3921,"08023"
"259","Colorado","Crowley County",5696,"08025"
"260","Colorado","Custer County",5183,"08027"
"261","Colorado","Delta County",31067,"08029"
"262","Colorado","Denver County",735538,"08031"
"263","Colorado","Dolores County",2096,"08033"
"264","Colorado","Douglas County",360750,"08035"
"265","Colorado","Eagle County",54929,"08037"
"266","Colorado","Elbert County",27313,"08039"
"267","Colorado","El Paso County",728310,"08041"
"268","Colorado","Fremont County",47867,"08043"
"269","Colorado","Garfield County",60366,"08045"
"270","Colorado","Gilpin County",6235,"08047"
"271","Colorado","Grand County",15794,"08049"
"272","Colorado","Gunnison County",17593,"08051"
"273","Colorado","Hinsdale County",808,"08053"
"274","Colorado","Huerfano County",6883,"08055"
"275","Colorado","Jackson County",1389,"08057"
"276","Colorado","Jefferson County",583283,"08059"
"277","Colorado","Kiowa County",1458,"08061"
"278","Colorado","Kit Carson County",7121,"08063"
"279","Colorado","Lake County",7987,"08065"
"280","Colorado","La Plata County",56564,"08067"
"281","Colorado","Larimer County",360428,"08069"
"282","Colorado","Las Animas County",14420,"08071"
"283","Colorado","Lincoln County",5680,"08073"
"284","Colorado","Logan County",21974,"08075"
"285","Colorado","Mesa County",155603,"08077"
"286","Colorado","Mineral County",773,"08079"
"287","Colorado","Moffat County",13144,"08081"
"288","Colorado","Montezuma County",26408,"08083"
"289","Colorado","Montrose County",43322,"08085"
"290","Colorado","Morgan County",28941,"08087"
"291","Colorado","Otero County",18201,"08089"
"292","Colorado","Ouray County",5001,"08091"
"293","Colorado","Park County",18955,"08093"
"294","Colorado","Phillips County",4367,"08095"
"295","Colorado","Pitkin County",17894,"08097"
"296","Colorado","Prowers County",12106,"08099"
"297","Colorado","Pueblo County",169823,"08101"
"298","Colorado","Rio Blanco County",6342,"08103"
"299","Colorado","Rio Grande County",11296,"08105"
"300","Colorado","Routt County",25560,"08107"
"301","Colorado","Saguache County",6938,"08109"
"302","Colorado","San Juan County",748,"08111"
"303","Colorado","San Miguel County",8105,"08113"
"304","Colorado","Sedgwick County",2260,"08115"
"305","Colorado","Summit County",30631,"08117"
"306","Colorado","Teller County",25529,"08119"
"307","Colorado","Washington County",4875,"08121"
"308","Colorado","Weld County",333983,"08123"
"309","Colorado","Yuma County",10047,"08125"
"310","Connecticut","Fairfield County",942426,"09001"
"311","Connecticut","Hartford County",889226,"09003"
"312","Connecticut","Litchfield County",179610,"09005"
"313","Connecticut","Middlesex County",161657,"09007"
"314","Connecticut","New Haven County",851948,"09009"
"315","Connecticut","New London County",264999,"09011"
"316","Connecticut","Tolland County",150600,"09013"
"317","Connecticut","Windham County",116540,"09015"
"318","Delaware","Kent County",183643,"10001"
"319","Delaware","New Castle County",561531,"10003"
"320","Delaware","Sussex County",241635,"10005"
"321","District of Columbia","District of Columbia",712816,"11001"
"322","Florida","Alachua County",271218,"12001"
"323","Florida","Baker County",29566,"12003"
"324","Florida","Bay County",171322,"12005"
"325","Florida","Bradford County",28593,"12007"
"326","Florida","Brevard County",608459,"12009"
"327","Florida","Broward County",1958105,"12011"
"328","Florida","Calhoun County",14078,"12013"
"329","Florida","Charlotte County",194711,"12015"
"330","Florida","Citrus County",153010,"12017"
"331","Florida","Clay County",221770,"12019"
"332","Florida","Collier County",392973,"12021"
"333","Florida","Columbia County",72654,"12023"
"334","Florida","DeSoto County",38520,"12027"
"335","Florida","Dixie County",17057,"12029"
"336","Florida","Duval County",966728,"12031"
"337","Florida","Escambia County",322364,"12033"
"338","Florida","Flagler County",118451,"12035"
"339","Florida","Franklin County",12201,"12037"
"340","Florida","Gadsden County",45277,"12039"
"341","Florida","Gilchrist County",18885,"12041"
"342","Florida","Glades County",14198,"12043"
"343","Florida","Gulf County",13534,"12045"
"344","Florida","Hamilton County",14521,"12047"
"345","Florida","Hardee County",26822,"12049"
"346","Florida","Hendry County",42813,"12051"
"347","Florida","Hernando County",198792,"12053"
"348","Florida","Highlands County",106639,"12055"
"349","Florida","Hillsborough County",1497957,"12057"
"350","Florida","Holmes County",19594,"12059"
"351","Florida","Indian River County",162518,"12061"
"352","Florida","Jackson County",46085,"12063"
"353","Florida","Jefferson County",14543,"12065"
"354","Florida","Lafayette County",8482,"12067"
"355","Florida","Lake County",375492,"12069"
"356","Florida","Lee County",790767,"12071"
"357","Florida","Leon County",295460,"12073"
"358","Florida","Levy County",42214,"12075"
"359","Florida","Liberty County",8364,"12077"
"360","Florida","Madison County",18707,"12079"
"361","Florida","Manatee County",411219,"12081"
"362","Florida","Marion County",373513,"12083"
"363","Florida","Martin County",162088,"12085"
"364","Florida","Miami-Dade County",2707303,"12086"
"365","Florida","Monroe County",73900,"12087"
"366","Florida","Nassau County",91113,"12089"
"367","Florida","Okaloosa County",212820,"12091"
"368","Florida","Okeechobee County",42297,"12093"
"369","Florida","Orange County",1404396,"12095"
"370","Florida","Osceola County",385315,"12097"
"371","Florida","Palm Beach County",1507600,"12099"
"372","Florida","Pasco County",570412,"12101"
"373","Florida","Pinellas County",976802,"12103"
"374","Florida","Polk County",744552,"12105"
"375","Florida","Putnam County",74815,"12107"
"376","Florida","St. Johns County",278715,"12109"
"377","Florida","St. Lucie County",337186,"12111"
"378","Florida","Santa Rosa County",189139,"12113"
"379","Florida","Sarasota County",443465,"12115"
"380","Florida","Seminole County",474171,"12117"
"381","Florida","Sumter County",139018,"12119"
"382","Florida","Suwannee County",44851,"12121"
"383","Florida","Taylor County",21600,"12123"
"384","Florida","Union County",15182,"12125"
"385","Florida","Volusia County",561497,"12127"
"386","Florida","Wakulla County",34319,"12129"
"387","Florida","Walton County",76648,"12131"
"388","Florida","Washington County",25932,"12133"
"389","Georgia","Appling County",18325,"13001"
"390","Georgia","Atkinson County",8393,"13003"
"391","Georgia","Bacon County",11036,"13005"
"392","Georgia","Baker County",2971,"13007"
"393","Georgia","Baldwin County",45099,"13009"
"394","Georgia","Banks County",19352,"13011"
"395","Georgia","Barrow County",85588,"13013"
"396","Georgia","Bartow County",109426,"13015"
"397","Georgia","Ben Hill County",16614,"13017"
"398","Georgia","Berrien County",19408,"13019"
"399","Georgia","Bibb County",152737,"13021"
"400","Georgia","Bleckley County",12955,"13023"
"401","Georgia","Brantley County",19202,"13025"
"402","Georgia","Brooks County",15357,"13027"
"403","Georgia","Bryan County",40755,"13029"
"404","Georgia","Bulloch County",80839,"13031"
"405","Georgia","Burke County",22648,"13033"
"406","Georgia","Butts County",25426,"13035"
"407","Georgia","Calhoun County",6231,"13037"
"408","Georgia","Camden County",55388,"13039"
"409","Georgia","Candler County",10985,"13043"
"410","Georgia","Carroll County",121633,"13045"
"411","Georgia","Catoosa County",67996,"13047"
"412","Georgia","Charlton County",13430,"13049"
"413","Georgia","Chatham County",289463,"13051"
"414","Georgia","Chattahoochee County",10551,"13053"
"415","Georgia","Chattooga County",24843,"13055"
"416","Georgia","Cherokee County",265274,"13057"
"417","Georgia","Clarke County",127795,"13059"
"418","Georgia","Clay County",2866,"13061"
"419","Georgia","Clayton County",292646,"13063"
"420","Georgia","Clinch County",6582,"13065"
"421","Georgia","Cobb County",762944,"13067"
"422","Georgia","Coffee County",43218,"13069"
"423","Georgia","Colquitt County",45542,"13071"
"424","Georgia","Columbia County",160377,"13073"
"425","Georgia","Cook County",17291,"13075"
"426","Georgia","Coweta County",150849,"13077"
"427","Georgia","Crawford County",12231,"13079"
"428","Georgia","Crisp County",22034,"13081"
"429","Georgia","Dade County",16057,"13083"
"430","Georgia","Dawson County",27113,"13085"
"431","Georgia","Decatur County",26457,"13087"
"432","Georgia","DeKalb County",762009,"13089"
"433","Georgia","Dodge County",20452,"13091"
"434","Georgia","Dooly County",13174,"13093"
"435","Georgia","Dougherty County",86477,"13095"
"436","Georgia","Douglas County",147988,"13097"
"437","Georgia","Early County",10037,"13099"
"438","Georgia","Echols County",4002,"13101"
"439","Georgia","Effingham County",65765,"13103"
"440","Georgia","Elbert County",19335,"13105"
"441","Georgia","Emanuel County",22507,"13107"
"442","Georgia","Evans County",10638,"13109"
"443","Georgia","Fannin County",26521,"13111"
"444","Georgia","Fayette County",115821,"13113"
"445","Georgia","Floyd County",98604,"13115"
"446","Georgia","Forsyth County",250847,"13117"
"447","Georgia","Franklin County",23504,"13119"
"448","Georgia","Fulton County",1077402,"13121"
"449","Georgia","Gilmer County",31978,"13123"
"450","Georgia","Glascock County",2984,"13125"
"451","Georgia","Glynn County",85568,"13127"
"452","Georgia","Gordon County",58780,"13129"
"453","Georgia","Grady County",24491,"13131"
"454","Georgia","Greene County",18837,"13133"
"455","Georgia","Gwinnett County",942627,"13135"
"456","Georgia","Habersham County",46047,"13137"
"457","Georgia","Hall County",206591,"13139"
"458","Georgia","Hancock County",8494,"13141"
"459","Georgia","Haralson County",30383,"13143"
"460","Georgia","Harris County",36080,"13145"
"461","Georgia","Hart County",26406,"13147"
"462","Georgia","Heard County",11973,"13149"
"463","Georgia","Henry County",239139,"13151"
"464","Georgia","Houston County",160110,"13153"
"465","Georgia","Irwin County",9387,"13155"
"466","Georgia","Jackson County",76199,"13157"
"467","Georgia","Jasper County",14483,"13159"
"468","Georgia","Jeff Davis County",15213,"13161"
"469","Georgia","Jefferson County",15267,"13163"
"470","Georgia","Jenkins County",8746,"13165"
"471","Georgia","Johnson County",9667,"13167"
"472","Georgia","Jones County",28787,"13169"
"473","Georgia","Lamar County",19261,"13171"
"474","Georgia","Lanier County",10737,"13173"
"475","Georgia","Laurens County",47512,"13175"
"476","Georgia","Lee County",30234,"13177"
"477","Georgia","Liberty County",63004,"13179"
"478","Georgia","Lincoln County",8031,"13181"
"479","Georgia","Long County",20171,"13183"
"480","Georgia","Lowndes County",118268,"13185"
"481","Georgia","Lumpkin County",34186,"13187"
"482","Georgia","McDuffie County",21162,"13189"
"483","Georgia","McIntosh County",14387,"13191"
"484","Georgia","Macon County",12712,"13193"
"485","Georgia","Madison County",30457,"13195"
"486","Georgia","Marion County",8516,"13197"
"487","Georgia","Meriwether County",21164,"13199"
"488","Georgia","Miller County",5622,"13201"
"489","Georgia","Mitchell County",21602,"13205"
"490","Georgia","Monroe County",28042,"13207"
"491","Georgia","Montgomery County",9012,"13209"
"492","Georgia","Morgan County",19636,"13211"
"493","Georgia","Murray County",40032,"13213"
"494","Georgia","Muscogee County",196442,"13215"
"495","Georgia","Newton County",113295,"13217"
"496","Georgia","Oconee County",41124,"13219"
"497","Georgia","Oglethorpe County",15383,"13221"
"498","Georgia","Paulding County",173359,"13223"
"499","Georgia","Peach County",27950,"13225"
"500","Georgia","Pickens County",33127,"13227"
"501","Georgia","Pierce County",19522,"13229"
"502","Georgia","Pike County",19121,"13231"
"503","Georgia","Polk County",42840,"13233"
"504","Georgia","Pulaski County",11191,"13235"
"505","Georgia","Putnam County",22520,"13237"
"506","Georgia","Quitman County",2271,"13239"
"507","Georgia","Rabun County",17273,"13241"
"508","Georgia","Randolph County",6682,"13243"
"509","Georgia","Richmond County",202079,"13245"
"510","Georgia","Rockdale County",90939,"13247"
"511","Georgia","Schley County",5196,"13249"
"512","Georgia","Screven County",14012,"13251"
"513","Georgia","Seminole County",8060,"13253"
"514","Georgia","Spalding County",67414,"13255"
"515","Georgia","Stephens County",26107,"13257"
"516","Georgia","Stewart County",6689,"13259"
"517","Georgia","Sumter County",29282,"13261"
"518","Georgia","Talbot County",6143,"13263"
"519","Georgia","Taliaferro County",1562,"13265"
"520","Georgia","Tattnall County",25365,"13267"
"521","Georgia","Taylor County",8074,"13269"
"522","Georgia","Telfair County",15781,"13271"
"523","Georgia","Terrell County",8523,"13273"
"524","Georgia","Thomas County",44372,"13275"
"525","Georgia","Tift County",40719,"13277"
"526","Georgia","Toombs County",26973,"13279"
"527","Georgia","Towns County",12247,"13281"
"528","Georgia","Treutlen County",6822,"13283"
"529","Georgia","Troup County",70214,"13285"
"530","Georgia","Turner County",7882,"13287"
"531","Georgia","Twiggs County",8103,"13289"
"532","Georgia","Union County",25358,"13291"
"533","Georgia","Upson County",26527,"13293"
"534","Georgia","Walker County",70116,"13295"
"535","Georgia","Walton County",96875,"13297"
"536","Georgia","Ware County",35826,"13299"
"537","Georgia","Warren County",5232,"13301"
"538","Georgia","Washington County",20150,"13303"
"539","Georgia","Wayne County",30023,"13305"
"540","Georgia","Webster County",2595,"13307"
"541","Georgia","Wheeler County",7751,"13309"
"542","Georgia","White County",31094,"13311"
"543","Georgia","Whitfield County",103837,"13313"
"544","Georgia","Wilcox County",8502,"13315"
"545","Georgia","Wilkes County",9694,"13317"
"546","Georgia","Wilkinson County",8812,"13319"
"547","Georgia","Worth County",19972,"13321"
"548","Hawaii","Hawaii County",203340,"15001"
"549","Hawaii","Honolulu County",963826,"15003"
"550","Hawaii","Kalawao County",87,"15005"
"551","Hawaii","Kauai County",71851,"15007"
"552","Hawaii","Maui County",167902,"15009"
"553","Idaho","Ada County",494399,"16001"
"554","Idaho","Adams County",4447,"16003"
"555","Idaho","Bannock County",88795,"16005"
"556","Idaho","Bear Lake County",6143,"16007"
"557","Idaho","Benewah County",9430,"16009"
"558","Idaho","Bingham County",47202,"16011"
"559","Idaho","Blaine County",23426,"16013"
"560","Idaho","Boise County",8065,"16015"
"561","Idaho","Bonner County",46817,"16017"
"562","Idaho","Bonneville County",122134,"16019"
"563","Idaho","Boundary County",12656,"16021"
"564","Idaho","Butte County",2646,"16023"
"565","Idaho","Camas County",1130,"16025"
"566","Idaho","Canyon County",237053,"16027"
"567","Idaho","Caribou County",7123,"16029"
"568","Idaho","Cassia County",24277,"16031"
"569","Idaho","Clark County",852,"16033"
"570","Idaho","Clearwater County",8846,"16035"
"571","Idaho","Custer County",4249,"16037"
"572","Idaho","Elmore County",27448,"16039"
"573","Idaho","Franklin County",14215,"16041"
"574","Idaho","Fremont County",13218,"16043"
"575","Idaho","Gem County",18703,"16045"
"576","Idaho","Gooding County",15618,"16047"
"577","Idaho","Idaho County",16823,"16049"
"578","Idaho","Jefferson County",30581,"16051"
"579","Idaho","Jerome County",24578,"16053"
"580","Idaho","Kootenai County",170628,"16055"
"581","Idaho","Latah County",40830,"16057"
"582","Idaho","Lemhi County",8054,"16059"
"583","Idaho","Lewis County",3838,"16061"
"584","Idaho","Lincoln County",5358,"16063"
"585","Idaho","Madison County",40318,"16065"
"586","Idaho","Minidoka County",21216,"16067"
"587","Idaho","Nez Perce County",40755,"16069"
"588","Idaho","Oneida County",4520,"16071"
"589","Idaho","Owyhee County",12133,"16073"
"590","Idaho","Payette County",24771,"16075"
"591","Idaho","Power County",7643,"16077"
"592","Idaho","Shoshone County",12911,"16079"
"593","Idaho","Teton County",12501,"16081"
"594","Idaho","Twin Falls County",88411,"16083"
"595","Idaho","Valley County",11792,"16085"
"596","Idaho","Washington County",10360,"16087"
"597","Illinois","Adams County",64783,"17001"
"598","Illinois","Alexander County",5497,"17003"
"599","Illinois","Bond County",16262,"17005"
"600","Illinois","Boone County",52777,"17007"
"601","Illinois","Brown County",6546,"17009"
"602","Illinois","Bureau County",32303,"17011"
"603","Illinois","Calhoun County",4616,"17013"
"604","Illinois","Carroll County",14241,"17015"
"605","Illinois","Cass County",11925,"17017"
"606","Illinois","Champaign County",209192,"17019"
"607","Illinois","Christian County",32075,"17021"
"608","Illinois","Clark County",15268,"17023"
"609","Illinois","Clay County",13079,"17025"
"610","Illinois","Clinton County",37398,"17027"
"611","Illinois","Coles County",50383,"17029"
"612","Illinois","Cook County",5108284,"17031"
"613","Illinois","Crawford County",18512,"17033"
"614","Illinois","Cumberland County",10649,"17035"
"615","Illinois","DeKalb County",104491,"17037"
"616","Illinois","De Witt County",15368,"17039"
"617","Illinois","Douglas County",19510,"17041"
"618","Illinois","DuPage County",917481,"17043"
"619","Illinois","Edgar County",16858,"17045"
"620","Illinois","Edwards County",6356,"17047"
"621","Illinois","Effingham County",34065,"17049"
"622","Illinois","Fayette County",21264,"17051"
"623","Illinois","Ford County",12949,"17053"
"624","Illinois","Franklin County",38060,"17055"
"625","Illinois","Fulton County",33690,"17057"
"626","Illinois","Gallatin County",4793,"17059"
"627","Illinois","Greene County",12702,"17061"
"628","Illinois","Grundy County",50993,"17063"
"629","Illinois","Hamilton County",8084,"17065"
"630","Illinois","Hancock County",17422,"17067"
"631","Illinois","Hardin County",3808,"17069"
"632","Illinois","Henderson County",6535,"17071"
